Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019,,,,,,,
,,,,,,,
lfd. Nr.,Liegenschaft,Adresse,PLZ,Art der Wärme-versorgung,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
,,,,,2019,2019,
1,Helene-Lange-Gesamtschule - ehem. Frh. von Hünefeld-GS,Lauenburgerstr.114,12169,Fernwärme,,40.796,Wärmeversorgung aus Nr. 20
2,Sachsenwald - Grundschule,Sachsenwaldstr. 20 - 21,12157,Fernwärme,496.817,87.262,
3,Dunant- Grundschule,Gritznerstr.19 - 23,12163,Fernwärme,761.209,0,Stromversorgung aus Nr. 31
4,Grundschule am Insulaner,Hanstedter Weg 11,12169,Fernwärme,584.117,71.7,
5,Athene - Grundschule,Curtiusstr. 37 - 41,12205,Fernwärme,688.484,171.876,versorgt mit Strom externe Kita
6,Alt Lankwitzer Grundschule,Schulstr.17-27,12247,Gas,469.799,50.9,
7,Paul Schneider Grundschule,Seydlitzstr. 30 - 40,12249,Gas,1.093.607,174.816,
8,Giesensdorfer  - Grundschule,Ostpreußendamm 63,12207,Gas,545.488,58.162,
9,Kronach - Grundschule,Moltkestr. 24-26,12203,Gas,1.103.538,164.559,
10,Grundschule unter den Kastanien,Kastanienstraße 7,12209,Gas,810.255,95.717,
11,Clemens-Brentano Grundschule,Kommandantenstr. 83-84,12205,Fernwärme,482.585,44.376,
12,Käthe Kruse Grundschule,Tietzenweg. 108,12203,Gas,397.83,67.318,
13,Grundschule am Königsgraben,Gallwitzallee 136 - 144,12249,Gas,660.163,78.46,
14,Ludwig-Bechstein-Grundschule,"Halbauer Weg, 25",12249,Gas,433.684,63.411,
15,Grundschule am Karpfenteich,Hildburghauserstr. 135-145,12209,Gas,515.6,79.914,
16,Mercator Grundschule,Mercatorweg 8 -10,12207,Fernwärme,656.631,50.729,
17,Grundschule an der Bäke,Haydnstr.11-15,12203,Fernwärme,510.325,134.293,
